id,facility_code,mappings,registration_number,facility_name,common_name,physical_address,postal_address,village,ta,contact_person_fullname,contact_person_phone,contact_person_email,district,district_code,facility_type,datum,langitude,latitude,catchment_area,catchment_population,operational_status,ownership,regulatory_status,Other inpatient beds,Motor Vehicle Ambulances,Motor cycles,Bicycles,Motor Bike Ambulances,Vehicles/Cars,Other,Delivery beds,Maternity beds,Total overningt beds,20 watts generators,30 watts generators,40 watts generator,50 watts generator,Laptop,Desktop,Staff houses,Public tap/stand pipe,Generator,Piped into health facility,Piped into facility ground,Tube well/borehole,Tanker truck,No electricity,Solar panels,Wired for electricity,Connected to ESCOM Grid,Near ESCOM Grid,Rainwater harvesting,National Grid,Protected dug well,protected spring,Unprotected dug well,unprotected spring,surface water(Dam/Lake/River/Pond,Other,Incinerator,Placenta pit,Rubbish pit,Toilet,Pit latrine,Staff training in waste management last 2 years,Chamber industrial,Chamber drum,Flat ground,Protected ground,Pit no protection,Protected ground or pit,Covered container,Other protected environment,Other,Non sharp chamber industrial,Non sharp chamber drum,Non sharp flat ground,Non sharp pit protected ground,Non sharp covered pit,Non sharp open pit,Non sharp protected_ground,Non sharp covered container,Non sharp other protected environment,Non sharp other,Airtel,TNM,Access,MTL,Other,GWAN,Skyband,Globe
2,MC010002,[],MCM/PA/647,A + A private clinic,A+A,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Zulu,Cossam Kabango,999202427,mchinjidho@gmail.com,Mchinji,MC,Clinic,WGS 84,33.89,-13.80,urban,10,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,
3,BT240003,[],sdsd,A-C Opticals,A.C Opticals,Kuunikamav,"p.o. box 1234, Kuunika",Kuunika,Kapeni,DHO,111234567,blantyredho@gmail.com,Blantyre,BT,Clinic,WGS 84,35.03,-15.80,urban,300,Functional,Private,Registered,,,,,,,,,,,,,,,,1,1,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,
4,MZ160004,[],MCM/C/266,A-C Opticals,A-C Opticals,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Mzimba,MZ,Clinic,,,,urban,0,Non-functional,Mission/Faith-based (other than CHAM),Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BT240005,[],0 00,Akwezeke PVT Clinic,Akwezeke Pvt,"along Chikwawa road,  close to Airtel Shop Mpemba",p.o. box 6690 Limbe,Kuunika,Machinjiri,Blantyre DHO,999628474,chinyama.precious@yahoo.com,Blantyre,BT,Clinic,WGS 84,35.09,-15.84,Rural,0,Functional,Private,Registered,,,1,,,1,,,,,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
6,BT240006,[],MCM/PA/490,AB Medical Clinic,Abowa,Tondole stage NAMIYANGO,P.o. Box 5980 LIMBE,Kuunika,,Blantyre DHO,999372605,bowa.banda@yahoo.com,Blantyre,BT,Clinic,,35.09,-15.84,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,
7,LL040007,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/zYfP0gkHRJH.json"", ""code"": ""zYfP0gkHRJH"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4040"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4040"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""702"", ""system"": ""DHAMIS""}]",MCM/C/94,ABC Comm. Hospital,ABC Clinic,Kuunika,"p.o. box 1234, Kuunika",Kuunika,Njewa,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Hospital,WGS 84,33.74,-13.97,urban,0,Functional,Christian Health Association of Malawi (CHAM),Registered,56,,1,1,,1,,2,8,54,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,TRUE,
8,LL040008,[],MCM/C/267,AC Opticals Lilongwe Shopping Mall,AC Opticals Lilongwe Shopping,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Dispensary,,,,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LL040009,[],MCM/C/157,AC Opticals Old Town Mall,AC Opticals Old Town,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Dispensary,,,,urban,0,Functional,Private,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LL040010,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/q9qra0ng8xZ.json"", ""code"": ""q9qra0ng8xZ"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4075"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4075"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1212"", ""system"": ""DHAMIS""}]",,Achikondi Women Community Friendly Services Clinic,Achikondi,Kuunika,"p.o. box 1234, Kuunika",Kuunika,,John Bands,111234567,johnbanda@kuunika.org,Lilongwe,LL,Dispensary,,33.78,-13.95,urban,0,Functional,Private,Registered (Pending Certification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LL040011,"[{""url"": ""https://dhis2.health.gov.mw/api/organisationUnits/E3kLgwow7On.json"", ""code"": ""E3kLgwow7On"", ""system"": ""DHIS2""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4041"", ""system"": ""OpenLMIS""}, {""url"": ""https://lmis.health.gov.mw"", ""code"": ""LL4041"", ""system"": ""OpenLMIS""}, {""url"": ""https://www.hiv.health.gov.mw/"", ""code"": ""1222"", ""system"": ""DHAMIS""}]",MCM/C/07,Lilongwe Adventist Hospital,Adventist Health Centre,Area 14,"p.o. box 30416, Lilongwe",Kuunika,Khongoni,Dr. G. Saunders,999833867,gsndrs@aol.com,Lilongwe,LL,Hospital,WGS 84,33.78,-13.95,urban,0,Functional,Christian Health Association of Malawi (CHAM),Registered,11,,1,,,1,,1,1,10,,,,,,7,7,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE
